sector,region,size,multiestablishment_firm,fiscal_year,fiscal_month,fiscal_day,last_fiscal_year,legal_status,other_status,percentage_ownership,owner_manager,number_companies_owned,private_foreing_companies,government_company,other_company,female_owner,family_ownership,ceo_politician,support_group,year_established,fte_started,formal_year,manager_experience,top_manager_female,age_top_manager,education_top_manager,citizenship_top_manager,multinational_exp_top_manager,quality_certification,name_quality_certification,electrical_connection,power_outages,own_generator,application_water_connection,website,electricity_obstacle,main_activity,main_product,percentage_sales_main_product,sales,sales_description,sales_2years_ago,direct_sales,direct_sales_phone,direct_sales_online,direct_sales_other,national_sales,indirect_exports,direct_exports,losses_theft_products,domestic_supplies,foreign_supplies,technology_supply_chain,formal_planning,taxes_prevent_growth,labor_reg_prevent_growth,market_demand_prevent_growth,transport_obstacle_ops,customs_obstacle_ops,main_solutions,kpis,production_targets,performance_bonus,promotions,time_dismissed,main_market,competitors,foreign_technology,informal_competitors,obstacle_informal_competitors,product_innovation,product_inn_market,product_inn_description,prod_inn_description2,process_innovation,process_inn_description,process_inn_description2,r&d,r&d_intensity,closing_covid,own_building,own_land,construction_permit,access_land_obstacle,security,losses_fraudulent_transactions,obstacle_crime,internal_funds_workingcapital,bank_loans_workingcapital,other_loans_workingcapital,suppliers_customers_workingcapital,other_source_workingcapital,fixed_assets,savings_account,overdraft_facility,credit_line,outstanding_personal_loans,application_loans,certified_fin_statements,obstacle_access_finance,opinion_court_system,manager_timespent_regulations,tax_inspection,online_tax_payment,tax_officials_impartial,tax_officials_transparent,raised_complaints,government_contract,percentage_informal_payments,import_lic,operating_licence,payments_votes,payments_content_decrees,payments_votes_localdecrees,public_support,other_public_support_descrip,obtacle_tax_rates,obtacle_tax_adm,obtacle_permits,obstacle_political_inestability,obstacle_corruption,obstacle_occup_safety,obstacle_healthy_reg,obstacle_environment_reg,obstacle_courts,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_safety_pos,j30_health_pos,j30_environment_pos,permanent_fte,permanent_fte_lastyear,foreing_languages,interpersonal_skills,managerial_skilss,it_skilss,engineering_skilss,technical_skilss,EUl2_language_pos,EUl2_interpersonal_pos,EUl2_probsolve_pos,EUl2_manage_pos,EUl2_comp_pos,EUl2_math_pos,EUl2_tech_pos,temporal_workers,training,vacancies,EUl8_language_pos,EUl8_interpersonal_pos,EUl8_probsolve_pos,EUl8_manage_pos,EUl8_comp_pos,EUl8_math_pos,EUl8_tech_pos,obstacle_labor_reg,obstacle_educated_workers,biggest_obstacle,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,labor,cost_elctricity,weeks_remain_open,machinery_value
Retail services,West Netherlands,Small,Yes,2019,12,31,June,Shareholding company with non-traded shares or shares traded privately,,100,No,Don't know (spontaneous,100,0,0,No,No family ownership,No,Yes,2003,3,2004,5,No,33,Bachelorâs degree,Yes,No,Yes,403 Declaration Related To The Iso Of The Mother Company,No,No,No,No,Yes,No obstacle,Retail trade of ,Managing Retail Chain In The Field Of Clothing In The Netherlands,90,257000.0,Two Hundred Fifty Seven Thousand,203000,100,0,0,0,100,0,0,No internal shipments made (does not apply),0,100,Manual search of suppliers without storing supplierâs information in centralized database,No,Yes,Yes,Yes,No obstacle,Does not apply,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Yes,-7,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,Too many to count,No,No,Minor obstacle,No,0,,,Yes,Order Via Ipad In The Clothing Stores Linked To The Central Warehouse Of The Webshop,This Option Was Not Possible Before,No,0,1,0,0,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,Yes,No,No,No,Yes,No obstacle,Tend to agree,10,No,Yes,Strongly agree,Tend to disagree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,Fixed Costs Allowance,Minor obstacle,No obstacle,Moderate obstacle,Does not apply,Does not apply,No obstacle,No obstacle,Minor obstacle,No obstacle,8,1,9,5,2,6,3,4,7,10,13,As required,As required,As required,Below required,Does not apply (spontaneous),As required,4,7,5,1,2,6,3,No full-time seasonal or temporary workers,Yes,Yes,4,7,5,1,2,6,3,Major obstacle,Moderate obstacle,Labor regulations,8,1,9,13,10,11,3,4,12,2,6,15,14,5,7,877000,0,52.0,0.0
Retail services,West Netherlands,Large,No,2019,12,31,January,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,2014,27,2014,35,No,52,Bachelorâs degree,Yes,No,Yes,Haccp,No,No,No,No,Yes,No obstacle,Retail trade of ,Food Sales,95,15000000.0,Fifteen Million,14500000,100,0,0,0,100,0,0,No internal shipments made (does not apply),100,0,E-procurement with electronic orders integrated to specialized supply chain management systems,No,No,No,No,Moderate obstacle,Does not apply,DOES NOT APPLY (SPONTANEOUS),No,Yes,No,Promotions were based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,10.0,No,No,Minor obstacle,No,0,,,No,,,No,0,0,0,0,No,No obstacle,No,No,Minor obstacle,30,70,0,0,0,No,Yes,No,Yes,No,No,No,No obstacle,Tend to disagree,10,No,Yes,Tend to agree,Don't know (spontaneous),Does not apply,No,0.0,No,No,No impact,No impact,No impact,0,,Major obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,No obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,6,4,8,5,9,3,2,1,7,38,28,Below required,As required,As required,As required,Does not apply (spontaneous),As required,6,1,7,5,4,3,2,25,Yes,No,6,1,7,5,4,3,2,Major obstacle,Minor obstacle,Labor regulations,6,10,4,5,9,14,2,12,11,15,13,1,7,8,3,840000,42000,52.0,0.0
Other services,East Netherlands,Large,Yes,2019,12,31,May,Shareholding company with non-traded shares or shares traded privately,,48,Yes,Don't know (spontaneous,0,Don't know (spontaneous),Don't know (spontaneous),No,No family ownership,No,Yes,1908,6,1908,26,No,50,Bachelorâs degree,Yes,No,Yes,Ifs And Brc,Yes,No,Yes,No,Yes,No obstacle,Provide services of ,Logistics Services And Transport And Storage Of Goods And Packaging; Mainly Transportation Of Foot Products Incl. Refrigerated Transport By Truck,75,70000000.0,Seventy Million,60000000,0,90,10,0,5,95,0,No losses,20,80,Database of suppliers manually updated using computers with general purpose software,Yes,No,No,No,No obstacle,Minor obstacle,Don't know (spontaneous),Yes,Yes,Yes,-7,Rarely or never,International,12.0,No,No,Minor obstacle,Yes,0,Transport Service Extended To Other Country,Geographically New Country Added,Yes,Goods Loading Is Now Partly Automated,Automatic Loading More Efficient,Yes,150000.0,0,100,100,No,Does not apply,Yes,Yes,Minor obstacle,30,30,0,40,0,Yes,Yes,Yes,Yes,No,Yes,Yes,No obstacle,Don't know (spontaneous),5,Yes,Yes,Strongly agree,Strongly agree,Does not apply,No,0.0,No,No,No impact,No impact,No impact,1,,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,5,8,2,4,3,1,6,9,7,370,300,As required,As required,As required,As required,As required,As required,5,7,2,4,3,1,6,45,Yes,Yes,5,7,2,4,3,1,6,Minor obstacle,Minor obstacle,Access to finance,5,9,2,14,15,13,6,12,11,4,7,1,10,8,3,24000000,500000,0.0,0.0
Manufacturing,West Netherlands,Medium,No,2019,12,31,July,Shareholding company with non-traded shares or shares traded privately,,66,No,None (This is the first),0,0,0,No,No family ownership,No,Yes,1983,2,2000,30,No,55,Secondary/technical/vocational training,Yes,Yes,Yes,En1090,No,No,No,No,Yes,No obstacle,Manufacturing of ,"Design, Engineering, Manufacturing And Installation From Mechanical Equipment And Steel Construction To Maritime And Dredging Use",100,6900000.0,Six Million Nine Hundred  Thousand,8300000,75,25,0,0,60,25,15,No losses,50,50,Supplier Relation Management software (SRM),Yes,No,No,No,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,Yes,Yes,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,National â main product sold mostly across the country where establishment is located,5.0,No,No,No obstacle,Yes,1,Handling Tools For Concrete Blocks For Sea Wall,New Tools,No,,,Yes,150000.0,0,100,100,Yes,No obstacle,Yes,No,No obstacle,70,30,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,Moderate obstacle,Strongly agree,5,No,Yes,Strongly agree,Tend to agree,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,0,,Moderate obstacle,No obstacle,Minor obstacle,Does not apply,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,9,5,4,6,8,7,2,3,31,29,As required,As required,As required,As required,As required,Above required,6,3,5,4,2,1,7,20,Yes,Yes,6,3,5,4,2,1,7,No obstacle,No obstacle,Tax rates,2,13,5,4,11,8,7,12,14,9,6,10,15,3,1,0,30000,4.0,3000000.0
Other services,West Netherlands,Medium,Yes,2019,12,31,August,Shareholding company with non-traded shares or shares traded privately,,100,Yes,2,0,0,0,No,100,No,Yes,2013,20,2013,35,No,56,Secondary/diploma,No,No,No,,No,No,No,No,Yes,No obstacle,Hotel or restaurant,"Several Restaurants (4) And Catering Establishments (Snack Bars, Burgers) In The Old Center Of Amsterdam",100,4500000.0,Four Million Five Hundredthousand,3700000,100,0,0,0,100,0,0,No internal shipments made (does not apply),100,0,Database of suppliers manually updated using computers with general purpose software,No,No,No,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,No,"Promotions were based mainly on factors other than performance and ability (for example, tenure or family connections)",Rarely or never,Local â main product sold mostly in same municipality where establishment is located,Too many to count,No,No,No obstacle,Yes,0,New Dishes On The Menu,New Recipe,No,,,No,0,1,20,20,No,No obstacle,No,No,No obstacle,100,0,0,0,0,No,Yes,Yes,No,No,No,Yes,No obstacle,Tend to agree,1,No,Yes,Tend to agree,Don't know (spontaneous),Tend to agree,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Moderate obstacle,No obstacle,No obstacle,6,8,2,7,4,9,3,1,5,20,18,Above required,Below required,Below required,As required,As required,Below required,6,1,2,7,4,5,3,40,Yes,Yes,6,1,2,7,4,5,3,No obstacle,Moderate obstacle,Inadequately educated workforce,6,8,13,14,4,11,3,1,5,12,15,10,2,7,9,550000,70000,12.0,0.0
Other services,North Netherlands,Small,No,2019,12,31,July,Sole proprietorship,,100,Yes,2,0,0,0,No,100,No,Yes,2006,1,2006,40,No,56,Secondary/diploma,No,No,No,,No,No,No,No,Yes,No obstacle,Hotel or restaurant,Italian Eatery,100,250000.0,Two Hundred Fifty  Thousand,130000,10,0,90,0,100,0,0,No losses,50,50,Other,No,Yes,Yes,No,No obstacle,Does not apply,We fixed it and took action to make sure it did not happen again,No,Yes,No,Non-managers are normally not promoted,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,Too many to count,No,No,No obstacle,No,0,,,No,,,Yes,15000.0,0,0,0,No,No obstacle,Yes,No,No obstacle,100,0,0,0,0,Yes,Yes,No,No,No,No,Yes,No obstacle,Strongly agree,8,No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,Major obstacle,Major obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,5,8,9,7,3,1,2,6,3,4,As required,Above required,As required,As required,Does not apply (spontaneous),As required,4,5,1,2,7,3,6,10,No,No,4,5,1,2,7,3,6,No obstacle,Major obstacle,Inadequately educated workforce,4,12,11,9,15,3,1,2,13,14,8,5,6,10,7,60000,14000,12.0,0.0
Other services,West Netherlands,Medium,Yes,2019,12,31,August,Shareholding company with non-traded shares or shares traded privately,,100,No,Don't know (spontaneous,0,0,0,No,100,No,Yes,2015,35,2015,7,No,36,Bachelorâs degree,Yes,No,Yes,"Iso 9000, Haccp",No,Yes,No,No,Yes,No obstacle,Hotel or restaurant,Grand CafÃ© Where You Eat And Drink Consciously And Also A Wedding Location And Private Family And Company Parties,100,3503781.0,Three Million Five Hundred Three Thousand Seven Hundred Eighty One,2868466,97,0,3,0,100,0,0,No internal shipments made (does not apply),80,20,E-procurement with electronic orders integrated to specialized supply chain management systems,Yes,No,No,No,Minor obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,Yes,No,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,Local â main product sold mostly in same municipality where establishment is located,3.0,No,No,Does not apply,No,0,,,Yes,The Purchasing Process Has Been Locked And Choices Limited In The System. Better Efficiency As A Result,Brand New,Yes,5000.0,1,0,0,No,No obstacle,Yes,Yes,Minor obstacle,100,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,Moderate obstacle,Strongly agree,5,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,Now,No obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,2,1,5,4,9,7,8,6,3,24,14,As required,As required,As required,Below required,Does not apply (spontaneous),As required,2,7,5,4,3,6,1,44,Yes,Yes,2,7,5,4,3,6,1,Very severe obstacle,Moderate obstacle,Inadequately educated workforce,15,11,5,12,9,7,1,10,13,8,6,14,3,4,2,1284912,75904,15.0,0.0
Manufacturing,South Netherlands,Small,No,2019,12,31,May,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,1998,1,1998,31,No,49,Secondary/technical/vocational training,Yes,Yes,No,,No,Yes,No,No,Yes,No obstacle,Manufacturing of ,"Cnc Milling And Turning Of Metal Into Precision Parts For Machines, Car Industry And Medical Industry",100,860000.0,Eight Hundred Sixty Thousand,780000,0,100,0,0,25,65,10,No losses,0,100,Manual search of suppliers without storing supplierâs information in centralized database,No,No,No,No,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,Yes,No,Non-managers are normally not promoted,Within 6 months of identifying non-manager under-performance,International,3.0,Yes,No,No obstacle,Yes,1,Slot For Electric Car Charger Plus The Holder For The Plug,Completely New,Yes,Improvement Of Existing (Manned) To Improved (Unmanned) Machine,Saves Personnel Costs,Yes,5000.0,0,0,0,No,Major obstacle,Yes,No,No obstacle,60,0,0,40,0,Yes,Yes,Yes,Yes,No,No,Yes,No obstacle,Strongly agree,2,No,Yes,Strongly agree,Strongly agree,Does not apply,No,1.0,No,No,Minor impact,Modedate impact,Major impact,1,,Moderate obstacle,No obstacle,No obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,8,3,9,2,1,7,5,6,4,7,6,As required,As required,Below required,As required,As required,As required,6,3,4,2,1,7,5,No full-time seasonal or temporary workers,No,Yes,6,3,4,2,1,7,5,No obstacle,Very severe obstacle,Inadequately educated workforce,8,3,14,13,5,7,11,6,12,9,10,15,2,1,4,350000,6000,14.0,700000.0
Manufacturing,South Netherlands,Small,No,2019,12,31,February,Shareholding company with non-traded shares or shares traded privately,,100,Yes,None (This is the first),0,0,0,No,100,No,Yes,2000,2,2000,35,No,55,Secondary/technical/vocational training,Yes,Yes,Yes,Ifs,No,No,No,No,Yes,Moderate obstacle,Manufacturing of ,"1, Production Of Confectionery, Sweets And 2, Candies For Promotion(Marketing)",80,1000000.0,One Million,900000,0,0,0,100,80,5,15,No losses,20,80,Manual search of suppliers without storing supplierâs information in centralized database,Yes,No,No,No,No obstacle,Minor obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,Yes,No,-7,DOES NOT APPLY (SPONTANEOUS),National â main product sold mostly across the country where establishment is located,5.0,No,No,No obstacle,Yes,1,Nicer Packaging To Compete Better Against Competition,Better Packaging And Flexible Production Process,No,,,No,0,0,100,100,No,No obstacle,Yes,No,No obstacle,0,40,0,10,50,No,Yes,Yes,Yes,No,No,Yes,Minor obstacle,Tend to agree,Don't know (spontaneous),No,Yes,Does not apply,Does not apply,Does not apply,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,Moderate obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,8,9,5,3,1,2,4,7,6,7,7,As required,As required,As required,Below required,Does not apply (spontaneous),Below required,2,6,5,3,7,1,4,1,Yes,No,2,6,5,3,7,1,4,Minor obstacle,No obstacle,Tax rates,15,13,10,3,11,2,12,7,6,5,14,4,9,1,8,225000,10000,8.0,1200000.0
Retail services,East Netherlands,Small,No,2019,12,31,September,Sole proprietorship,,100,Yes,2,0,0,0,No,100,No,Yes,2011,3,2011,29,No,62,Post-graduate degree (Master or Doctorate),Yes,Yes,No,,Yes,Yes,No,No,Yes,Minor obstacle,Retail trade of ,Shop For Furniture And Home Accessories,100,245000.0,Two Hundred Forty Five Thousand,355000,98,0,2,0,85,0,15,No losses,25,75,Supplier Relation Management software (SRM),No,No,Yes,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,Yes,Don't know (spontaneous),Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,Local â main product sold mostly in same municipality where establishment is located,40.0,No,Yes,Minor obstacle,No,0,,,Yes,Added Fast Transport,"First Was Only Regular, Longer Delivery Time",No,0,1,0,0,No,No obstacle,Yes,No,No obstacle,50,40,0,10,0,No,Yes,Yes,Yes,Yes,No,No,Major obstacle,Tend to agree,10,No,Yes,Tend to disagree,Tend to disagree,Strongly agree,No,0.0,No,No,Does not apply,Does not apply,Does not apply,1,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,6,8,5,3,1,9,7,2,4,1,2,Above required,As required,As required,As required,Below required,As required,6,2,5,3,1,4,7,6,Yes,Yes,6,2,5,3,1,4,7,Major obstacle,No obstacle,Access to finance,10,14,6,3,1,5,12,11,4,9,2,13,15,8,7,10000,3600,2.0,0.0
