sector,region,size,multiestablishment_firm,legal_status,percentage_ownership,owner_manager,number_companies_owned,private_foreing_companies,government_company,other_company,female_owner,family_ownership,ceo_politician,support_group,fte_started,manager_experience,top_manager_female,age_top_manager,education_top_manager,citizenship_top_manager,multinational_exp_top_manager,quality_certification,electrical_connection,power_outages,own_generator,application_water_connection,website,percentage_sales_main_product,sales,direct_sales,direct_sales_phone,direct_sales_online,direct_sales_other,national_sales,indirect_exports,direct_exports,losses_theft_products,domestic_supplies,foreign_supplies,formal_planning,taxes_prevent_growth,labor_reg_prevent_growth,market_demand_prevent_growth,kpis,production_targets,performance_bonus,main_market,competitors,foreign_technology,informal_competitors,product_innovation,product_inn_market,process_innovation,r&d,r&d_intensity,closing_covid,own_building,own_land,construction_permit,security,losses_fraudulent_transactions,internal_funds_workingcapital,bank_loans_workingcapital,other_loans_workingcapital,suppliers_customers_workingcapital,other_source_workingcapital,fixed_assets,savings_account,overdraft_facility,credit_line,outstanding_personal_loans,application_loans,certified_fin_statements,manager_timespent_regulations,tax_inspection,online_tax_payment,government_contract,percentage_informal_payments,import_lic,operating_licence,public_support,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_safety_pos,j30_health_pos,j30_environment_pos,permanent_fte,permanent_fte_lastyear,EUl2_language_pos,EUl2_interpersonal_pos,EUl2_probsolve_pos,EUl2_manage_pos,EUl2_comp_pos,EUl2_math_pos,EUl2_tech_pos,temporal_workers,training,vacancies,EUl8_language_pos,EUl8_interpersonal_pos,EUl8_probsolve_pos,EUl8_manage_pos,EUl8_comp_pos,EUl8_math_pos,EUl8_tech_pos,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,labor,cost_elctricity,weeks_remain_open,machinery_value,age,exp,innovation
Retail services,West Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,100,0,0,0,0,0,1,3,5,0,33,2,1,0,1,0,0,0,0,1,90,257000.0,100,0,0,0,100,0,0,0,0,100,0,1,1,1,1,1,1,National,5500.0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,10,0,1,0,0.0,0,0,1,8,1,9,5,2,6,3,4,7,10,13,4,7,5,1,2,6,3,0,1,1,4,7,5,1,2,6,3,8,1,9,13,10,11,3,4,12,2,6,15,14,5,7,877000,0,52.0,0.0,17.0,0,0
Retail services,West Netherlands,Large,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,27,35,0,52,2,1,0,1,0,0,0,0,1,95,15000000.0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,0,1,0,Local,10.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,30,70,0,0,0,0,1,0,1,0,0,0,10,0,1,0,0.0,0,0,0,6,4,8,5,9,3,2,1,7,38,28,6,1,7,5,4,3,2,25,1,0,6,1,7,5,4,3,2,6,10,4,5,9,14,2,12,11,15,13,1,7,8,3,840000,42000,52.0,0.0,6.0,0,0
Other services,East Netherlands,Large,1,Shareholding company with non-traded shares or shares traded privately,48,1,1,0,0,0,0,0,0,1,6,26,0,50,2,1,0,1,1,0,1,0,1,75,70000000.0,0,90,10,0,5,95,0,0,20,80,1,0,0,0,1,1,1,International,12.0,0,0,1,0,1,1,150000.0,0,100,100,0,1,1,30,30,0,40,0,1,1,1,1,0,1,1,5,1,1,0,0.0,0,0,1,5,8,2,4,3,1,6,9,7,370,300,5,7,2,4,3,1,6,45,1,1,5,7,2,4,3,1,6,5,9,2,14,15,13,6,12,11,4,7,1,10,8,3,24000000,500000,0.0,0.0,112.0,1,1
Manufacturing,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,66,0,1,0,0,0,0,0,0,1,2,30,0,55,1,1,1,1,0,0,0,0,1,100,6900000.0,75,25,0,0,60,25,15,0,50,50,1,0,0,0,0,1,1,National,5.0,0,0,1,1,1,1,150000.0,0,100,100,1,1,0,70,30,0,0,0,1,1,1,1,0,0,1,5,0,1,0,0.0,0,0,0,1,9,5,4,6,8,7,2,3,31,29,6,3,5,4,2,1,7,20,1,1,6,3,5,4,2,1,7,2,13,5,4,11,8,7,12,14,9,6,10,15,3,1,0,30000,4.0,3000000.0,37.0,1,1
Other services,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,2,0,0,0,0,100,0,1,20,35,0,56,1,0,0,0,0,0,0,0,1,100,4500000.0,100,0,0,0,100,0,0,0,100,0,0,0,0,0,1,1,0,Local,5500.0,0,0,1,0,1,0,0.0,1,20,20,0,0,0,100,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0.0,0,0,1,6,8,2,7,4,9,3,1,5,20,18,6,1,2,7,4,5,3,40,1,1,6,1,2,7,4,5,3,6,8,13,14,4,11,3,1,5,12,15,10,2,7,9,550000,70000,12.0,0.0,7.0,0,1
Other services,North Netherlands,Small,0,Sole proprietorship,100,1,2,0,0,0,0,100,0,1,1,40,0,56,1,0,0,0,0,0,0,0,1,100,250000.0,10,0,90,0,100,0,0,0,50,50,0,1,1,0,0,1,0,Local,5500.0,0,0,0,0,0,1,15000.0,0,0,0,0,1,0,100,0,0,0,0,1,1,0,0,0,0,1,8,0,1,0,0.0,0,0,1,4,5,8,9,7,3,1,2,6,3,4,4,5,1,2,7,3,6,10,0,0,4,5,1,2,7,3,6,4,12,11,9,15,3,1,2,13,14,8,5,6,10,7,60000,14000,12.0,0.0,14.0,0,0
Other services,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,0,100,0,1,35,7,0,36,2,1,0,1,0,1,0,0,1,100,3503781.0,97,0,3,0,100,0,0,0,80,20,1,0,0,0,1,1,0,Local,3.0,0,0,0,0,0,1,5000.0,1,0,0,0,1,1,100,0,0,0,0,1,1,1,1,0,0,1,5,1,1,0,0.0,0,0,1,2,1,5,4,9,7,8,6,3,24,14,2,7,5,4,3,6,1,44,1,1,2,7,5,4,3,6,1,15,11,5,12,9,7,1,10,13,8,6,14,3,4,2,1284912,75904,15.0,0.0,5.0,0,0
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,1,31,0,49,1,1,1,0,0,1,0,0,1,100,860000.0,0,100,0,0,25,65,10,0,0,100,0,0,0,0,0,1,0,International,3.0,1,0,1,1,1,1,5000.0,0,0,0,0,1,0,60,0,0,40,0,1,1,1,1,0,0,1,2,0,1,0,1.0,0,0,1,8,3,9,2,1,7,5,6,4,7,6,6,3,4,2,1,7,5,0,0,1,6,3,4,2,1,7,5,8,3,14,13,5,7,11,6,12,9,10,15,2,1,4,350000,6000,14.0,700000.0,22.0,1,1
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,2,35,0,55,1,1,1,1,0,0,0,0,1,80,1000000.0,0,0,0,100,80,5,15,0,20,80,1,0,0,0,0,1,0,National,5.0,0,0,1,1,1,0,0.0,0,100,100,0,1,0,0,40,0,10,50,0,1,1,1,0,0,1,0,0,1,0,0.0,0,0,1,8,9,5,3,1,2,4,7,6,7,7,2,6,5,3,7,1,4,1,1,0,2,6,5,3,7,1,4,15,13,10,3,11,2,12,7,6,5,14,4,9,1,8,225000,10000,8.0,1200000.0,20.0,1,1
Retail services,East Netherlands,Small,0,Sole proprietorship,100,1,2,0,0,0,0,100,0,1,3,29,0,62,3,1,1,0,1,1,0,0,1,100,245000.0,98,0,2,0,85,0,15,0,25,75,0,0,1,0,1,1,0,Local,40.0,0,1,0,0,0,0,0.0,1,0,0,0,1,0,50,40,0,10,0,0,1,1,1,1,0,0,10,0,1,0,0.0,0,0,1,6,8,5,3,1,9,7,2,4,1,2,6,2,5,3,1,4,7,6,1,1,6,2,5,3,1,4,7,10,14,6,3,1,5,12,11,4,9,2,13,15,8,7,10000,3600,2.0,0.0,9.0,1,0
